Key,Type,Desc,English,French,Italian,German,Spanish,Japanese,Korean,Polish,Russian,Chinese-Simplified [zh-CN],Portuguese-Brazil [pt-BR],Chinese-Traditional [zh-TW],$Context,$Status
Science/TechNodes/Descriptions/tNode_0v_aero,Text,,Smaller engines for smaller aircraft. Now you can make your own personal jet!,Des propulseurs plus petits pour des appareils plus petits. À vous votre jet perso !,Motori piccoli per velivoli piccoli. Ora puoi costruire il tuo jet personale!,Kleinere Triebwerke für kleinere Flugzeuge. Jetzt kannst du deinen persönlichen Jet erstellen!,Motores pequeños para aeronaves pequeñas. ¡Ahora puedes fabricarte tu propio reactor!,小型航空機向けの小型エンジン。これで自分だけのジェット機が作れます！,소형 항공기를 위한 소형 엔진. 이제 나만의 개인 제트기를 만들 수 있습니다!,Mniejsze silniki dla mniejszych statków powietrznych. Teraz możesz zbudować sobie własny samolot!,Небольшие двигатели для небольших аппаратов. Теперь вы сможете построить свой личный реактивный самолет!,小引擎配小飞行器。现在你能建造属于自己的私人喷气式飞机了！,Motores pequenos para aeronaves pequenas. Agora você pode ter o seu próprio jato!,用於小型航空器的小型引擎。現在你可以打造自己的私人噴射機了！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_0v_electronics,Text,,"Electronic probes and satellites are vitally important for exploring the vastness of space. Advanced computer-controlled craft can safely explore unknown regions and report their findings before we send our Kerbonauts, saving us time, effort, and snacks.",Des robots dans l'espace ? Je vois pas ce qui pourrait mal se passer !,Robot nello spazio? Cosa potrà mai andare storto?,Roboter im Weltraum? Was soll da schon schiefgehen?,¿Robots en el espacio? ¿Qué podría salir mal?,宇宙にロボット？ それで何が失敗するって言うんだ？,우주에 로봇이 있다구요? 잘못될 게 뭐 있나요?,Roboty w kosmosie? Co może pójść nie tak?,Роботы в космосе? Что может пойти не так?,太空中的机器人？怎么可能会出错呢？,Robôs no espaço? O que poderia dar errado?,太空中的機器人？可能會出什麼差錯呢？,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_0v_fuelLines,Text,,"Fuel lines are designed to allow extremely volatile rocket propellant to flow safely between tanks in a number of useful ways. Don’t be fooled into thinking this is just a hose. Well, OK, it is just a hose, but it's the most high-tech hose you will ever see.",Qui aurait pu prévoir qu'un seul minuscule tuyau pourrait faire tant de choses ?,Chi l'avrebbe detto che una piccola manichetta potesse fare tutto questo?,"Wer hätte gedacht, dass ein kleiner Schlauch so viel bewirken kann?",¿Quién iba a pensar que una manguerita podía hacer tanto?,小さなホース1本でこんなにたくさんのことができるなんて、誰が思っただろう？,작은 호스 하나가 이렇게나 많은 일을 할거라 누가 생각이나 했을까요?,"Kto by pomyślał, że jedna mała rurka tyle znaczy?","Кто бы мог подумать, что один маленький шланг может столько сделать?!",谁能想到不起眼的管道会这么有用呢？,Quem imaginaria que uma pequena mangueira poderia fazer tanta coisa?,誰能想到一根小小的管子有這麼多用途？,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_0v_rcs,Text,,Reaction control systems are very small thrusters designed for stability and control in space. Placing these small thrusters around our vehicles will make maneuvering much more precise and help even the most inexperienced pilot fly like a pro.,Qui aime les commandes directionnelles précises ? Vous !,Chi adora dei bei comandi direzionali? Tu!,Wer liebt exakte Richtungssteuerung? Du!,¿Quién adora un buen control de dirección? ¡Tú!,細かい方向制御が大好きなのは誰？ あなたでしょ！,미세하게 조종하는 것을 좋아하는 사람이 누구입니까? 그게 너야~,Kto uwielbia dokładne stery kierunkowe? Ty!,Кто любит точное управление? Вы!,谁喜欢精准的方向控制？就是你啦！,Quem ama controle direcional refinado? Você!,誰喜歡精確的方向控制？你喜歡！,Tech Node Description,Relocalize
Science/TechNodes/Descriptions/tNode_0v_rockets_01,Text,,"As we build smaller satellites and exploration probes, we will need the technology to construct very small, efficient engines to propel them. Despite conventual wisdom, there are times when smaller is much better.",Des propulseurs minus pour un vaisseau minus.,Motori minuscoli per veicoli minuscoli.,Winzige Triebwerke für winzige Raumfahrzeuge.,Motores diminutos para naves espaciales diminutas.,超小型宇宙船のための超小型エンジン。,작은 우주선을 위한 초소형 엔진입니다.,Maleńkie silniki dla maleńkich statków kosmicznych.,Крошечные двигатели для крошечных кораблей.,小型航天器专用的袖珍引擎。,Motores minúsculos para espaçonaves minúsculas.,微型太空船的微型引擎。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_0v_rockets_02,Text,,Small engines with a big purpose.,De petits propulseurs avec de grandes ambitions.,Da piccoli motori derivano grandi responsabilità.,Kleine Triebwerke mit großer Aufgabe.,Motores pequeños con grandes propósitos.,大きな目的を持った小さなエンジン。,큰 목적을 가진 소형 엔진입니다.,Małe silniki do wielkich celów.,Маленькие двигатели для больших целей.,小引擎，大目标。,Pequenos motores com grandes propósitos.,有大用途的小引擎。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_0v_science_01,Text,,"Studying methods of miniaturizing and compacting our science equipment into smaller, more efficient parts will greatly expand the ways we can utilize them, as well as reducing mass that can be used for other cargo, such as snacks. Science and snacks, what a great combination.",Pour mieux comprendre le monde qui vous entoure.,Per capire meglio il mondo intorno a te.,"Hilft, die Welt um dich herum zu verstehen.",Para ayudarte a entender el mundo que te rodea.,周りの世界を理解するのに役立ちます。,여러분 주변의 세계를 이해하는 데 도움이 됩니다.,"Pomoże zrozumieć świat, który cię otacza.",Они помогают вам понять окружающий мир.,有助于了解周围的世界。,Ajudando a compreender o mundo ao seu redor.,協助你了解周遭的世界。,Tech Node Description,Relocalize
Science/TechNodes/Descriptions/tNode_0v_science_02,Text,,Making sure objects are supposed to glow like that.,Pour vérifier que les objets sont bien censés briller comme ça.,Assicurati che quel bagliore sia normale.,"Stellt sicher, dass Objekte so leuchten sollen.",Para que los objetos brillen como tienen que brillar.,いろいろな物体が必ずあんな風に光るようにします。,물체가 그렇게 빛나는 것이 가능한지 확인합니다.,"Sprawdzanie, czy obiekty powinny tak świecić.","Они следят за тем, чтобы светились только те объекты, которые должны светиться.",保证物体能像那样发光。,Garantindo que os objetos brilhem desse jeito.,確保物體應該如此發光。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_0v_struts,Text,,Do not be deceived by the apparent small size of this technology. Strut connectors can be used in countless ways to strengthen a vehicle and are especially useful for holding together very large craft. Our simulations show that this will be an essential tool for any experienced rocket designer.,Il ne faut pas confondre vérin et verre de vin.,Puntoni su cui puntare.,"Zeit, deine Streben zu verwirklichen.",Hora de presumir de riostras.,自分の力をストラットみたいに誇示するときです。,이제 여러분의 물건을 고정할 시간입니다.,Czas zrozporować co nieco.,Пора выставить свое добро напоказ.,该让你的东西支棱起来了。,Hora de estruturar as suas coisas.,是時候展示你的實力了。,Tech Node Description,Relocalize
Science/TechNodes/Descriptions/tNode_0v_trusses,Text,,It’s surprising how many ways you can use a little square truss.,C'est incroyable tout ce qu'on peut faire avec une structure de maintien carrée.,È incredibile quanti utilizzi ha una piccola travatura quadrata.,"Erstaunlich, wie vielseitig sich eine viereckige Traverse einsetzen lässt.",Resulta sorprendente la cantidad de maneras distintas de utilizar un pequeño armazón cuadrangular.,小さな角型トラスの使い方は驚くほどたくさんあります。,작은 사각 트러스를 얼마나 다양한 방법으로 사용할 수 있는지 알면 놀랄 거예요.,"To zaskakujące, ile zastosowań ma taka kratownica kwadratowa.","Просто удивительно, какой полезной может быть маленькая квадратная ферма.",小小方形桁架的用处之多让你超乎想象。,É surpreendente de quantas maneiras você pode usar uma treliça quadrada pequena.,令人驚訝的是，一個小小的方形桁架竟然有這麼多的用途。,Tech Node Description,Ready to Test
